CustomerID,Description,Quantity
16446.0,"PAPER CRAFT , LITTLE BIRDIE",-80995
12346.0,MEDIUM CERAMIC TOP STORAGE JAR,-74215
15838.0,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360
15749.0,FAIRY CAKE FLANNEL ASSORTED COLOUR,-3114
15749.0,GIN + TONIC DIET METAL SIGN,-2000
15749.0,WHITE HANGING HEART T-LIGHT HOLDER,-1930
16938.0,HERB MARKER BASIL,-1515
16029.0,FELTCRAFT DOLL MOLLY,-1440
18133.0,Manual,-1350
15749.0,TEA TIME PARTY BUNTING,-1300
16029.0,PINK BLUE FELT CRAFT TRINKET BOX,-1296
14533.0,PAPER POCKET TRAVELING FAN ,-1200
12901.0,WORLD WAR 2 GLIDERS ASSTD DESIGNS,-1056
17450.0,PANTRY CHOPPING BOARD,-942
16029.0,FELTCRAFT BUTTERFLY HEARTS,-840
17949.0,HOME SWEET HOME MUG,-828
16013.0,COLOUR GLASS. STAR T-LIGHT HOLDER,-780
16422.0,Discount,-723
14607.0,MIRROR MOSAIC T-LIGHT HOLDER ,-720
17949.0,VINTAGE BILLBOARD TEA MUG,-701
12931.0,GIRAFFE WOODEN RULER,-688
12931.0,REVOLVER WOODEN RULER ,-676
15749.0,DOORMAT FAIRY CAKE,-670
12755.0,ROUND SNACK BOXES SET OF 4 FRUITS ,-624
12908.0,Manual,-600
12908.0,ASSORTED COLOURS SILK FAN,-600
16029.0,FELTCRAFT 6 FLOWER FRIENDS,-600
17949.0,SAVE THE PLANET MUG,-576
17949.0,REGENCY TEA PLATE ROSES ,-576
12931.0,12 PENCILS SMALL TUBE SKULL,-518
16013.0,WHITE HANGING HEART T-LIGHT HOLDER,-500
16684.0,SMALL CERAMIC TOP STORAGE JAR ,-480
14646.0,Manual,-480
14607.0,MIRROR MOSAIC T-LIGHT HOLDER ROUND,-468
12931.0,ALPHABET STENCIL CRAFT,-432
14064.0,PLACE SETTING WHITE HEART,-432
16525.0,PLACE SETTING WHITE HEART,-432
13984.0,BASKET OF TOADSTOOLS,-408
15298.0,COLOUR GLASS. STAR T-LIGHT HOLDER,-360
12901.0,RAIN PONCHO RETROSPOT,-360
14607.0,MIRROR MOSAIC VOTIVE HOLDER,-324
12931.0,IVORY DINER WALL CLOCK,-318
15769.0,HOT WATER BOTTLE I AM SO POORLY,-312
16013.0,GOLD MINI TAPE MEASURE ,-300
16029.0,JUMBO BAG RED RETROSPOT,-300
14911.0,36 DOILIES VINTAGE CHRISTMAS,-288
12454.0,VANILLA SCENT CANDLE JEWELLED BOX,-288
15482.0,VICTORIAN  METAL POSTCARD SPRING,-288
12427.0,BOYS ALPHABET IRON ON PATCHES,-288
17867.0,WHITE TALL PORCELAIN T-LIGHT HOLDER,-288
12931.0,PAINT YOUR OWN CANVAS SET,-270
16422.0,Manual,-269
12931.0,WOODEN SCHOOL COLOURING SET,-252
12931.0,LUNCH BAG ALPHABET DESIGN,-250
14298.0,OFFICE MUG WARMER PINK,-250
12657.0,WRAP CHRISTMAS VILLAGE,-250
15985.0,BATHROOM METAL SIGN,-250
12748.0,SMALL WHITE RETROSPOT MUG IN BOX ,-244
14911.0,60 CAKE CASES VINTAGE CHRISTMAS,-240
14911.0,SET OF 6 NATIVITY MAGNETS ,-240
17404.0,SET OF 3 BABUSHKA STACKING TINS,-240
16029.0,FELTCRAFT CUSHION RABBIT,-240
14607.0,FLOWERS CHANDELIER T-LIGHT HOLDER,-240
12901.0,Discount,-240
16684.0,MEDIUM CERAMIC TOP STORAGE JAR,-240
14607.0,MIRROR MOSAIC GOBLET CANDLE HOLDER,-240
12748.0,SMALL RED RETROSPOT MUG IN BOX ,-234
15769.0,JUMBO BAG VINTAGE DOILY ,-220
18198.0,VICTORIAN GLASS HANGING T-LIGHT,-219
15482.0,VANILLA SCENT CANDLE JEWELLED BOX,-216
13694.0,RED RETROSPOT OVEN GLOVE ,-200
13694.0,JUMBO BAG APPLES,-200
13694.0,RED RETROSPOT PEG BAG,-200
14031.0,DOORMAT KEEP CALM AND COME IN,-200
12454.0,OCEAN SCENT CANDLE IN JEWELLED BOX,-200
16029.0,JUMBO BAG WOODLAND ANIMALS,-200
16029.0,JUMBO BAG PINK POLKADOT,-200
14911.0,PAPER CHAIN KIT VINTAGE CHRISTMAS,-200
12931.0,JUMBO BAG VINTAGE DOILY ,-200
17888.0,BLUE POLKADOT WRAP,-200
15482.0,POPCORN HOLDER,-200
12931.0,Manual,-200
13694.0,JUMBO BAG ALPHABET,-200
15482.0,OCEAN SCENT CANDLE IN JEWELLED BOX,-198
16546.0,CARD HOLDER GINGHAM HEART,-192
16029.0,JAM MAKING SET PRINTED,-192
14911.0,SET OF 20 VINTAGE CHRISTMAS NAPKINS,-192
14156.0,DOLLY GIRL LUNCH BOX,-192
16546.0,HEART WOODEN CHRISTMAS DECORATION,-192
16029.0,FELTCRAFT CUSHION BUTTERFLY,-192
12931.0,ASSTD DESIGN RACING CAR PEN,-180
15482.0,ROSE 1 WICK MORRIS BOXED CANDLE,-180
13798.0,HANGING FAIRY CAKE DECORATION,-179
16742.0,ROSES REGENCY TEACUP AND SAUCER ,-168
12901.0,LUNCH BOX I LOVE LONDON,-164
12901.0,SET 2 TEA TOWELS I LOVE LONDON ,-160
15482.0,PINK HANGING HEART T-LIGHT HOLDER,-160
16394.0,TRAVEL CARD WALLET PANTRY,-158
17949.0,REGENCY CAKESTAND 3 TIER,-150
17389.0,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,-150
12748.0,IVORY CHANDELIER T-LIGHT HOLDER,-144
17307.0,STRAWBERRY CERAMIC TRINKET BOX,-144
16684.0,HOME SWEET HOME MUG,-144
14866.0,PAPER POCKET TRAVELING FAN ,-144
16689.0,Manual,-144
12748.0,FLOWERS CHANDELIER T-LIGHT HOLDER,-144
16029.0,BAKING MOULD EASTER EGG MILK CHOC,-144
15513.0,S/15 SILVER GLASS BAUBLES IN BAG,-144
14646.0,36 FOIL HEART CAKE CASES,-144
15046.0,WHITE ROCKING HORSE HAND PAINTED,-144
17404.0,VICTORIAN SEWING KIT,-144
16546.0,CHRISTMAS GINGHAM HEART,-144
16029.0,FELTCRAFT CUSHION OWL,-144
16546.0,PARTY CONE CHRISTMAS DECORATION ,-144
16525.0,FILIGREE HEART BIRD WHITE ,-144
14911.0,CHRISTMAS METAL TAGS ASSORTED ,-144
16029.0,RED FLORAL FELTCRAFT SHOULDER BAG,-144
14646.0,RAIN PONCHO RETROSPOT,-144
12748.0,BEADED CHANDELIER T-LIGHT HOLDER,-144
15864.0,ANTIQUE SILVER T-LIGHT GLASS,-144
18194.0,TEA PARTY BIRTHDAY CARD,-144
16546.0,CHRISTMAS GINGHAM STAR,-144
15061.0,VICTORIAN SEWING KIT,-144
12901.0,Manual,-144
12931.0,WHITE SKULL HOT WATER BOTTLE ,-144
15769.0,JUMBO BAG RED RETROSPOT,-140
12931.0,JUMBO BAG ALPHABET,-140
12748.0,RED RETROSPOT CAKE STAND,-133
15769.0,JUMBO  BAG BAROQUE BLACK WHITE,-130
15769.0,JUMBO BAG OWLS,-130
15769.0,JUMBO SHOPPER VINTAGE RED PAISLEY,-130
