Description,Revenue
AMAZON FEE,235281.59
"PAPER CRAFT , LITTLE BIRDIE",168469.6
Manual,146784.46
MEDIUM CERAMIC TOP STORAGE JAR,77479.64000000001
POSTAGE,11871.24
REGENCY CAKESTAND 3 TIER,9697.05
CRUK Commission,7933.43
Bank Charges,7340.639999999999
WHITE HANGING HEART T-LIGHT HOLDER,6624.3
FAIRY CAKE FLANNEL ASSORTED COLOUR,6591.42
Discount,5696.219999999999
PANTRY CHOPPING BOARD,4803.0599999999995
DOORMAT FAIRY CAKE,4554.9
GIN + TONIC DIET METAL SIGN,3775.33
TEA TIME PARTY BUNTING,3692.95
FELTCRAFT DOLL MOLLY,3512.65
COLOUR GLASS. STAR T-LIGHT HOLDER,3246.16
SAMPLES,3102.7
IVORY DINER WALL CLOCK,2653.7
RED RETROSPOT CAKE STAND,2480.4999999999995
JUMBO BAG RED RETROSPOT,1984.02
FLOWERS CHANDELIER T-LIGHT HOLDER,1859.07
VINTAGE RED KITCHEN CABINET,1730.5
ROUND SNACK BOXES SET OF 4 FRUITS ,1691.5
HOT WATER BOTTLE I AM SO POORLY,1679.6999999999998
3 TIER CAKE TIN RED AND CREAM,1671.6000000000001
DOORMAT KEEP CALM AND COME IN,1601.25
CINDERELLA CHANDELIER ,1514.0500000000002
PINK BLUE FELT CRAFT TRINKET BOX,1405.01
JUMBO BAG APPLES,1309.25
SET OF 3 BABUSHKA STACKING TINS,1258.0499999999997
SET/4 WHITE RETRO STORAGE CUBES ,1248.25
WOOD 2 DRAWER CABINET WHITE FINISH,1225.8500000000001
PARTY BUNTING,1201.3500000000001
REVOLVER WOODEN RULER ,1193.4
GIRAFFE WOODEN RULER,1185.8999999999999
PAPER CHAIN KIT 50'S CHRISTMAS ,1160.35
FELTCRAFT 6 FLOWER FRIENDS,1158.3
ROSES REGENCY TEACUP AND SAUCER ,1150.3500000000001
HOME SWEET HOME MUG,1134.32
FELTCRAFT BUTTERFLY HEARTS,1103.65
JUMBO BAG ALPHABET,1076.0199999999998
REGENCY TEA PLATE ROSES ,1046.3
JUMBO BAG VINTAGE DOILY ,1030.6399999999999
JAM MAKING SET WITH JARS,1012.79
SET 7 BABUSHKA NESTING BOXES,952.0
PAPER CHAIN KIT VINTAGE CHRISTMAS,931.45
WOODEN FRAME ANTIQUE WHITE ,910.9500000000002
PICNIC BASKET WICKER LARGE,873.2
3 HOOK PHOTO SHELF ANTIQUE WHITE,859.3499999999999
LUNCH BAG RED RETROSPOT,854.6999999999999
HERB MARKER BASIL,841.05
FELTCRAFT CUSHION RABBIT,832.35
JUMBO BAG PINK POLKADOT,816.58
